Key,English Value,Category,Priority,Notes
"collaborators.validation.invalidEmail","Please enter valid email addresses","collaborators","MEDIUM",""
"collaborators.validation.invalidPhone","Please enter valid phone numbers with country codes","collaborators","MEDIUM",""
"collaborators.email.copyLink","Or copy and paste this link:","collaborators","MEDIUM",""
"collaborators.email.important","Important:","collaborators","MEDIUM",""
"collaborators.email.expiryNote","This invitation will expire on {date}","collaborators","MEDIUM",""
"collaborators.email.accountNote","You'll need to sign in or create a ForeverPages account to accept","collaborators","MEDIUM",""
"collaborators.email.accessNote","After accepting, you'll have immediate access to the memorial page","collaborators","MEDIUM",""
"collaborators.email.ignoreNote","If you didn't expect this invitation, you can safely ignore this email.","collaborators","MEDIUM",""
"collaborators.email.copyright","© {year} ForeverPages. All rights reserved.","collaborators","MEDIUM",""
"collaborators.email.securityNote","This is a secure invitation link. For your security, do not share this email with others.","collaborators","MEDIUM",""
"collaborators.whatsapp.roleEmoji.ADMIN","👑","collaborators","MEDIUM",""
"collaborators.whatsapp.roleEmoji.EDITOR","✏️","collaborators","MEDIUM",""
"collaborators.whatsapp.roleEmoji.CONTRIBUTOR","📝","collaborators","MEDIUM",""
"collaborators.whatsapp.inviteMessage","*{inviterName}* has invited you to collaborate on the memorial page for *{memorialName}*","collaborators","MEDIUM",""
"collaborators.whatsapp.roleTitle","Your Role: {roleEmoji} {role}","collaborators","MEDIUM",""
"collaborators.whatsapp.acceptPrompt","Accept this invitation:","collaborators","MEDIUM",""
"collaborators.whatsapp.expiryNote","⏰ This invitation expires on {date}","collaborators","MEDIUM",""
"collaborators.whatsapp.securityNote","🔒 Please keep this link secure and do not share it.","collaborators","MEDIUM",""
"collaborators.whatsapp.roleEmojis.ADMIN","👑","collaborators","MEDIUM",""
"collaborators.whatsapp.roleEmojis.EDITOR","✏️","collaborators","MEDIUM",""
"collaborators.whatsapp.roleEmojis.CONTRIBUTOR","📝","collaborators","MEDIUM",""
"collaborators.noCollaborators","No collaborators yet","collaborators","MEDIUM",""
"collaborators.noCollaboratorsDescription","Invite team members to help manage this memorial page","collaborators","MEDIUM",""
"livestream.viewer.quality.LOW","240p","livestream","MEDIUM",""
"livestream.viewer.quality.MEDIUM","360p","livestream","MEDIUM",""
"livestream.viewer.quality.SD","480p","livestream","MEDIUM",""
"livestream.viewer.quality.HD","720p","livestream","MEDIUM",""
"livestream.viewer.quality.FULL_HD","1080p","livestream","MEDIUM",""
"livestream.marketplace.filters.premium","Premium","livestream","MEDIUM",""
"livestream.customization.preview.tablet","Tablet","livestream","MEDIUM",""
